CAPAIAN INVESTASI PROYEK EFFIENSI ENERGI TAHUN 2026;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No;Nama  Instansi/Perusahaan;Alamat;Sektor / Jenis;Jenis Kegiatan;Deskripsi (Jenis Kegiatan Efisiensi Energi);Nilai Investasi (Rp);Nilai Investasi (USD) (1 USD= Rp.16.500);Penghematan Energi (GJ);Sumber Data;Keterangan;Latt;Long;KBLI 2020;Bidang Usaha KBLI 2020;Status (PMA/PMDN)
12;PT Uni-Charm Indonesia Tbk Factory 2;Kawasan Industri KIIC, Jl. Permata Raya Lot D, Teluk Jambe, Karawang, 41361;Industri Tekstil dan Garmen;Optimasi Sistem;Efisiensi King Blower Mesin Produksi;Rp98.000.000;5.939;118,13;;Maret;;;;;
;;;;Optimasi Sistem;Efisiensi Peralatan HVAC;Rp547.296.000;33.169;1.209,78;;Maret;;;;;
;;;;Optimasi Sistem;Efisiensi Compressor;Rp160.616.000;9.734;7.121,75;;Maret;;;;;
13;PT Adis Dimension Footwear;Jalan raya serang km24, Balaraja, Tangerang Balaraja, Kabupaten Tangerang, Banten 15610;Industri Alas Kaki;Penggantian Alat;Efficiency of Rolling Machine 18 In;Rp400.000.000;24.242;452,11;;Maret;;;;;
14;PT Jatim Taman Steel Manufacturing;Jalan Raya Taman No. 01, RT014/RW003, Kelurahan Taman, Kecamatan Taman, Kabupaten Sidoarjo, Jawa Timur 61237;Industri Besi dan Baja;Penggantian Alat;Penggantian Lampu Blacklight Magnaflux BI;Rp583.000.000;35.333;33,87;;Maret;;;;;
15;PT SASA INTI;Jl. Raya Gending KM 12, Gending, Probolinggo Jawa Timur 67272;Industri Makanan dan Minuman;Penggantian Alat;Penggantian Kompresor Instrument Tekanan 7 bar dan Dryer;Rp3.477.000.000;210.727;1868,59;;Maret;;;;;
16;PT. BHIRAWASTEEL;Jalan Margomulyo No. 6 Tandes, Kota Surabaya, Jawa Timur 60186;Industri Besi dan Baja;Penggantian Alat;Menurunkan Intensitas Energi Perusahaan per Ton Produk (GJ/T);Rp676.488.000;40.999;1036,8;;Maret;;;;;
17;PT. Indorama Polypet Indonesia;Jl. Raya Anyer Km 121 Ciwandan Cilegon Ciwandan, Kota Cilegon, Banten 42447;Industri petrokimia;Penggantian Alat;Replacement of VAC 300 TR;Rp2.236.530.000;135.547;4253,36;;Maret;;;;;
18;PT. PLN INDONESIA POWER - PLTU BANTEN 3 LONTAR OMU;Jl. Insinyur Sutami Kemiri, Kabupaten Tangerang, Banten 15530;Pembangkit Listrik;Modifikasi alat;MONAS (Monitoring Oksigen Air Pre-Heater System): Inovasi Digital Pemantauan O2 Excess untuk Efisiensi Energi dan Penurunan Emisi;Rp1.318.130.000;79.887;85605,7;;Maret;;;;;
19;Medco E&P Grissik Ltd;The Energy Building, Lt. 21, 23 dan 31, SCBD Lot. 11A, Jl. Jend. Sudirman Kav. 52-53, Senayan, Kebayoran Baru, Jakarta Selatan, DKI Jakarta - 12190;Industri Minyak dan Gas;Optimasi Sistem;Towards Zero Routine Flaring 2030: Accelerating the Elimination of Routine Gas Flaring through the Utilization of Suban Baru A1 Well Gas, Achieving 80,218 GJ Energy Savings with Valuable Emission Redu;Rp4.125.000.000;250.000;80218,70;;April;;;;;
20;PT Chang Shin Indonesia;Jl. Dusun Gintungkolot, Gintungkerta, Kec. Klari, Karawang Klari, Kabupaten Karawang, Jawa Barat 41371;Industri Alas Kaki;Modifikasi alat;Modifikasi BIG FAN;Rp528.272.000;32.016;459,88;;April;;;;;
;;;;Optimasi Sistem;CKP Air Compressor Waste Heat Recovery;Rp1.205.020.000;73.032;203,65;;April;;;;;
21;Pertamina Hulu Mahakam;Jl. Yos Sudarso, Balikpapan, Kalimantan Timur, 76123 Indonesia. ;Industri Minyak dan Gas;Modifikasi alat;Inovasi MAXIDRILL dan Aktivitas Online (MAXIDROFF) untuk Mempercepat Waktu Pemboran Di Lapangan Tunu;Rp6.199.950.000;375.755;49122,30;;April;;;;;
22;PT. JAVA PACIFIC;Jalan Surabaya - Krian KM. 25-25 Krian, Kabupaten Sidoarjo, Jawa Timur 61262;Industri Besi dan Baja;Optimasi Sistem;Pemanfaatan Hot Air dari Furnace Produksi Hot Rolled Coil;Rp45.000.000.000;2.727.273;24333,80;;April;;;;;
23;PT. Great Giant Pineapple;Jalan Raya Lintas Sumatera KM 77, Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34163;Industri Perkebunan;Modifikasi alat;Penggantian motor IDF 200 KW ke 250 KW;Rp166.650.000;10.100;;;April;;;;;
;;;;Optimasi Sistem;Pemanfaatan air vakuum cooker untuk cooling tower;Rp9.700.000;588;311,90;;April;;;;;
24;PT. New Asia International;JL. RAYA TAMBAK KALISOGO INDUSTRI NO. 1, DESA TAMBAKKALISOGO, KEC. JABON, KAB. SIDOARJO, JAWA TIMUR;Industri Besi dan Baja;Modifikasi alat;instal Heat recovery di furnace HRC;Rp600.000.000;36.364;-23710,00;;April;;;;;
